aalib 1.4rc5-18
haskell-th-abstraction 0.4.5.0-2
haskell-th-compat 0.1.5-2
haskell-th-lift 0.8.4-2
haskell-th-lift-instances 0.1.20-47
haskell-these 1.1.1.1-261
haskell-time-compat 1.9.6.1-97
haskell-time-manager 0.0.1-33
haskell-tls 1.8.0-28
haskell-toml-parser 1.3.1.3-15
haskell-transformers-base 0.4.6-102
haskell-transformers-compat 0.7.2-2
haskell-type-equality 1-13
haskell-typed-process 0.2.11.1-15
haskell-typst 0.3.2.1-27
haskell-typst-symbols 0.1.4-2
haskell-unicode-collation 0.1.3.6-12
haskell-unicode-data 0.4.0.1-33
haskell-unicode-transforms 0.4.0.1-74
haskell-uniplate 1.6.13-220
haskell-unix-compat 0.7.1-13
haskell-unix-time 0.4.12-5
haskell-unliftio 0.2.25.0-10
haskell-unliftio-core 0.2.1.0-2
haskell-unordered-containers 0.2.20-15
haskell-utf8-string 1.0.2-150
haskell-uuid-types 1.0.5.1-16
haskell-vault 0.3.1.5-182
haskell-vector 0.13.1.0-31
haskell-vector-algorithms 0.9.0.1-91
haskell-vector-stream 0.1.0.1-2
haskell-wai 3.2.4-16
haskell-wai-app-static 3.1.9-7
haskell-wai-cors 0.2.7-352
haskell-wai-extra 3.1.14-36
haskell-wai-logger 2.4.0-429
haskell-warp 3.3.30-53
haskell-witherable 0.4.2-98
haskell-word8 0.1.3-23
haskell-xml 1.3.14-31
haskell-xml-conduit 1.9.1.3-49
haskell-xml-types 0.3.8-9
haskell-yaml 0.11.11.2-44
haskell-zip-archive 0.4.3.2-2
haskell-zlib 0.6.3.0-60
hexedit 1.6-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
hiredis 1.2.0-2
hslua-cli 1.4.1-44
htop 3.3.0-1
http-parser 2.9.4-2
hunspell 1.7.2-1
hwdata 0.381-1
hwloc 2.10.0-1
hyphen 2.8.8-5
hyprcursor 0.1.7-1
hypridle-git 0.1.2.r0.g7cff4581-1
hyprland 0.39.1-5
hyprlang 0.5.1-1
hyprlock-git 0.3.0.r13.g41526206-1
iana-etc 20240412-1
ibus 1.5.29-4
icu 74.2-2
ijs 0.35-6
imagemagick 7.1.1.31-1
imath 3.1.11-1
imhex-bin 1.33.2-1
inkscape 1.3.2-4
intel-ucode 20240312-1
iproute2 6.8.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
jack2 1.9.22-1
jansson 2.14-3
jasper 4.2.1-1
